PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,On1.stopped,On2.started,text_2.started,On2.stopped,On3.started,text_3.started,On3.stopped,On4.started,text_4.started,On4.stopped,On5.started,text_5.started,On5.stopped,On6.started,text_6.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,23,blue,,,,,0,11,11,11,,,,,,,,,,,,,,,,,86.40566849999959,,,,,,,,,,,,,,,86.37733740000112,86.40566849999959,87.37492500000008,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,25,yellow,,,,,0,12,12,12,,,,,,,,,,,,,,,,,87.40436899999986,,,,,,,,,,,,,,,87.37524570000096,87.40436899999986,88.37418880000041,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,27,orange,,,,,0,13,13,13,,,,,,,,,,,,,,,,,88.40330300000096,,,,,,,,,,,,,,,88.37448949999998,88.40330300000096,89.37298590000137,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,29,brown,,,,,0,14,14,14,,,,,,,,,,,,,,,,,89.40247520000048,,,,,,,,,,,,,,,89.37331170000107,89.40247520000048,90.39051720000134,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,31,purple,,,,,0,15,15,15,,,,,,,,,,,,,,,,,90.41832799999975,,,,,,,,,,,,,,,90.39080520000061,90.41832799999975,91.38972819999981,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,33,green,,,,,0,16,16,16,,,,,,,,,,,,,,,,,91.417142100001,,,,,,,,,,,,,,,91.39004490000116,91.417142100001,92.40334509999957,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,35,red,,,,,0,17,17,17,,,,,,,,,,,,,,,,,92.4332245000005,,,,,,,,,,,,,,,92.4036500000002,92.4332245000005,93.38759220000065,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,37,white,,,,,0,18,18,18,,,,,,,,,,,,,,,,,93.41552130000127,,,,,,,,,,,,,,,93.3879066999998,93.41552130000127,94.38652430000002,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
None,39,blue,,,,,0,19,19,19,,,,,,,,,,,,,,,,,94.41452750000099,,,,,,,,,,,,,,,94.3868523000001,94.41452750000099,95.40113329999986,,,,,,,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.40119140000024,95.41600800000015,115.40110249999998,,,,,,,,,,,,293388,001,2024-04-30_18h07.01.763,ArchivoPrueba,2024.1.1,None,2024-04-30 18h07.13.339232 -0500,
