PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,FInalizacion.started,FinPrueba.started,FInalizacion.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,2,2,2,0,0,0,0,9.22726799999873,,,,,,,,,,,,8.201663899999403,8.226724500000273,9.200648699999874,9.210886299999402,9.22726799999873,9.317354900000282,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,2,2,2,0,1,1,1,9.34376119999979,,,,,,,,,,,,,,,9.317692499998884,9.34376119999979,9.417665599999964,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,0,2,2,2,9.443527299999914,,,,,,,,,,,,,,,9.417989800000214,9.443527299999914,9.517317899999398,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,2,2,2,0,3,3,3,9.543641999998727,,,,,,,,,,,,,,,9.517685900000288,9.543641999998727,9.617120999999315,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,2,2,2,0,4,4,4,9.643589999999676,,,,,,,,,,,,,,,9.617392099999051,9.643589999999676,9.71650950000003,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,2,2,2,0,5,5,5,9.74342869999964,,,,,,,,,,,,,,,9.716904599999907,9.74342869999964,9.816910100000314,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,2,2,2,0,6,6,6,9.843132300000434,,,,,,,,,,,,,,,9.817267299999003,9.843132300000434,9.917011499999717,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,2,2,2,0,7,7,7,9.943316900000355,,,,,,,,,,,,,,,9.91735510000035,9.943316900000355,10.017644100000325,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,2,2,2,0,8,8,8,10.043153200000233,,,,,,,,,,,,,,,10.017957699999897,10.043153200000233,10.11655989999963,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,2,2,2,0,9,9,9,10.143114499998774,,,,,,,,,,,,,,,10.11683869999979,10.143114499998774,10.216154100000495,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,21,white,0,2,2,2,0,10,10,10,10.24319309999919,,,,,,,,,,,,,,,10.216513499999564,10.24319309999919,10.316051099998731,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,23,blue,0,2,2,2,0,11,11,11,10.342902500000491,,,,,,,,,,,,,,,10.316450899999836,10.342902500000491,10.415921499999968,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
