PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,On.stopped,CondicionOn.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,3,3,3,0,0,0,0,18.02036340000086,,,,,,,,,,,,16.939625500001057,17.002679700000954,17.934438899999805,17.98802319999959,18.04353220000121,18.02036340000086,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,3,3,3,0,1,1,1,18.085982200000217,,,,,,,,,,,,,,,18.04491109999981,18.15565129999959,18.085982200000217,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,3,3,3,0,2,2,2,18.20331350000015,,,,,,,,,,,,,,,18.15718510000079,18.223956400001043,18.20331350000015,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,0,3,3,3,18.270144699999946,,,,,,,,,,,,,,,18.225867999999537,18.339761799999906,18.270144699999946,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,3,3,3,0,4,4,4,18.3701400000009,,,,,,,,,,,,,,,18.34104169999955,18.441732799999954,18.3701400000009,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,3,3,3,0,5,5,5,18.48673559999952,,,,,,,,,,,,,,,18.443110700000034,18.511181600000782,18.48673559999952,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,3,3,3,0,6,6,6,18.553521699999692,,,,,,,,,,,,,,,18.513215500001024,18.625029500000892,18.553521699999692,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,3,3,3,0,7,7,7,18.66978089999975,,,,,,,,,,,,,,,18.626240800000232,18.739772200000516,18.66978089999975,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,3,3,3,0,8,8,8,18.78589749999992,,,,,,,,,,,,,,,18.741113300000507,18.836541200000283,18.78589749999992,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,3,3,3,0,9,9,9,18.86904030000005,,,,,,,,,,,,,,,18.83774000000085,18.916732699999557,18.86904030000005,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,21,white,0,3,3,3,0,10,10,10,18.952483700000812,,,,,,,,,,,,,,,18.9185209999996,19.0576388999998,18.952483700000812,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,23,blue,0,3,3,3,0,11,11,11,19.085446799999772,,,,,,,,,,,,,,,19.059049100000266,19.135380699999587,19.085446799999772,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,25,yellow,0,3,3,3,0,12,12,12,19.169561599999724,,,,,,,,,,,,,,,19.136529999999766,19.21793500000058,19.169561599999724,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,27,orange,0,3,3,3,0,13,13,13,19.252037700000074,,,,,,,,,,,,,,,19.219376700000794,19.336398700001155,19.252037700000074,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,29,brown,0,3,3,3,0,14,14,14,19.369012600000133,,,,,,,,,,,,,,,19.337578399999984,19.419285400001172,19.369012600000133,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,31,purple,0,3,3,3,0,15,15,15,19.452066600000762,,,,,,,,,,,,,,,19.420400700000755,19.533910500000275,19.452066600000762,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
None,33,green,0,3,3,3,0,16,16,16,19.56875140000011,,,,,,,,,,,,,,,19.53566580000006,19.61834799999997,19.56875140000011,378311,001,2024-04-28_12h57.39.364,ArchivoPrueba,2024.1.1,None,2024-04-28 12h57.58.255563 -0500,
