PreguntaOn,PreguntaOff,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,3,3,3,0,4,4,4,17.28155770000012,,,,,,,,,,,,,,,17.23864920000051,17.28155770000012,17.305171699998027,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,3,3,3,0,5,5,5,17.3478860000032,,,,,,,,,,,,,,,17.307501800001774,17.3478860000032,17.41812950000167,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,3,3,3,0,6,6,6,17.46451640000305,,,,,,,,,,,,,,,17.419477800001914,17.46451640000305,17.537476800003788,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,3,3,3,0,7,7,7,17.58164100000431,,,,,,,,,,,,,,,17.539190299998154,17.58164100000431,17.607998799998313,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,3,3,3,0,8,8,8,17.648025200003758,,,,,,,,,,,,,,,17.609565999999177,17.648025200003758,17.72494469999947,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,3,3,3,0,9,9,9,17.764614200001233,,,,,,,,,,,,,,,17.726669700001366,17.764614200001233,17.841115199997148,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,21,white,0,3,3,3,0,10,10,10,17.881247299999814,,,,,,,,,,,,,,,17.842818199998874,17.881247299999814,17.908178400000907,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,23,blue,0,3,3,3,0,11,11,11,17.948675300001923,,,,,,,,,,,,,,,17.909641199999896,17.948675300001923,18.022995899998932,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,25,yellow,0,3,3,3,0,12,12,12,18.06444989999727,,,,,,,,,,,,,,,18.02477170000202,18.06444989999727,18.147511800001666,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
None,27,orange,0,3,3,3,0,13,13,13,18.19771580000088,,,,,,,,,,,,,,,18.149697200002265,18.19771580000088,18.2220462999976,205319,001,2024-04-28_19h06.23.784,ArchivoPrueba,2024.1.1,None,2024-04-28 19h06.38.729961 -0500,
