PreguntaOn,PreguntaOff,Colors,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,On1.started,text.started,On1.stopped,On2.started,text_2.started,On2.stopped,On3.started,text_3.started,On3.stopped,On4.started,text_4.started,On4.stopped,On5.started,text_5.started,On5.stopped,On6.started,text_6.started,On6.stopped,On7.started,text_7.started,On7.stopped,On8.started,text_8.started,On8.stopped,On9.started,text_9.started,On9.stopped,FInalizacion.started,FinPrueba.started,mouse_2.started,FInalizacion.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,21,white,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.26178939999954,,,,,,,,,,,,,,,79.23571079999965,79.26178939999954,80.23105299999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,23,blue,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2604124999998,,,,,,,,,,,,,,,80.23142899999948,80.2604124999998,81.24625389999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,25,yellow,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2760191999987,,,,,,,,,,,,,,,81.24655749999874,81.2760191999987,82.2455528999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,27,orange,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.27562930000022,,,,,,,,,,,,,,,82.24599179999859,82.27562930000022,83.248716099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,29,brown,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.27405319999889,,,,,,,,,,,,,,,83.24969299999975,83.27405319999889,84.22975479999877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,31,purple,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.25660909999897,,,,,,,,,,,,,,,84.23034980000011,84.25660909999897,85.24618679999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,33,green,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.27299539999876,,,,,,,,,,,,,,,85.2469745999988,85.27299539999876,86.24428579999949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,35,red,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.27182229999926,,,,,,,,,,,,,,,86.24493149999944,86.27182229999926,87.25773969999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,37,white,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.28764529999899,,,,,,,,,,,,,,,87.25801169999977,87.28764529999899,88.25714829999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
None,39,blue,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.28712259999884,,,,,,,,,,,,,,,88.25750270000026,88.28712259999884,89.24246139999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.24257169999873,89.26954669999941,109.23941129999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.26836209999965,,,,,,,,,,,,,,,109.25284439999996,109.26836209999965,110.25557659999868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.28411609999966,,,,,,,,,,,,,,,110.25592909999978,110.28411609999966,111.25384789999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.28326329999982,,,,,,,,,,,,,,,111.25416299999961,111.28326329999982,113.09745730000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.11705799999982,,,,,,,,,,,,,,,113.09779030000027,113.11705799999982,113.25185369999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.28146839999863,,,,,,,,,,,,,,,113.2521342,113.28146839999863,114.23412660000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,057148,001,2024-04-30_18h12.35.535,ArchivoPrueba,2024.1.1,None,2024-04-30 18h12.47.803430 -0500,
